entertainer:9,8,17,20,11,11,13,11,25,10,20,8,11,9,11,11,11,10,9,8,20,11,14,8,8 
event planning/event services:20,8,10,14,13,10,11,33,14,25,14,17,10,9,25,25,10,20,20,11,20,20,25,17,8 
farming/agriculture:20,6,8,11,10,8,8,8,10,17,14,33,8,9,13,25,8,33,10,9,20,11,25,17,6 
fictional character:17,8,14,25,20,10,11,10,20,20,17,14,10,9,13,20,10,17,17,13,17,17,20,14,8 
food/beverages:17,8,10,11,10,10,11,11,100,11,11,20,10,8,13,13,10,11,10,9,11,11,13,10,8 
food/grocery:17,10,10,11,14,25,33,11,100,11,14,20,14,11,14,13,14,20,10,9,11,14,20,10,10 
furniture:7,13,8,9,14,14,17,8,10,8,14,7,14,14,14,8,20,13,7,7,9,20,20,6,13 
games/toys:25,13,13,14,20,20,25,10,17,20,33,13,20,14,20,33,33,33,9,8,33,20,100,50,17 
government official:14,6,7,10,9,7,8,8,9,13,13,33,7,13,14,17,7,14,9,8,14,13,17,13,6 
government organization:14,6,7,10,9,7,8,8,9,13,13,33,7,13,14,17,7,14,9,8,14,13,17,13,6 
health/beauty:11,7,13,100,10,9,10,9,17,100,17,13,9,8,10,13,9,9,25,9,14,17,11,8,7 
health/medical /pharmacy:14,8,8,14,10,10,11,8,20,100,17,17,10,8,10,17,10,20,25,9,14,17,17,13,8 
health/medical/pharmaceuticals:14,8,8,14,10,10,11,8,20,100,17,17,10,8,10,17,10,20,25,9,14,17,17,13,8 
home decor:9,10,10,13,14,14,17,11,14,17,100,17,14,13,14,11,14,20,14,8,11,100,20,8,10 
home improvement:13,10,10,14,14,14,17,11,14,33,100,17,14,13,14,14,14,20,25,9,13,100,20,11,10 
hospital/clinic:8,9,8,9,13,13,14,8,11,9,17,14,13,11,13,14,13,14,8,8,8,17,17,7,9 
hotel:7,10,8,9,14,14,17,8,13,8,20,7,14,11,14,8,14,17,7,7,9,20,20,6,10 
household supplies:25,8,10,13,11,10,11,14,14,20,13,17,10,13,14,33,10,25,11,10,25,13,33,20,8 
